Game,Max depth,Move Order,Winner
0,2,"['a', 'b', 'c', 'd', 'e', 'f']",0
1,3,"['a', 'b', 'c', 'd', 'e', 'f']",0
2,4,"['a', 'b', 'c', 'd', 'e', 'f']",0
3,5,"['a', 'b', 'c', 'd', 'e', 'f']",0
4,2,"['a', 'b', 'c', 'd', 'e', 'f']",0
5,3,"['a', 'b', 'c', 'd', 'e', 'f']",0
6,4,"['a', 'b', 'c', 'd', 'e', 'f']",0
7,5,"['a', 'b', 'c', 'd', 'e', 'f']",0
8,2,"['a', 'b', 'c', 'd', 'e', 'f']",0
9,3,"['a', 'b', 'c', 'd', 'e', 'f']",0
10,4,"['a', 'b', 'c', 'd', 'e', 'f']",0
11,5,"['a', 'b', 'c', 'd', 'e', 'f']",0
12,2,"['a', 'b', 'c', 'd', 'e', 'f']",0
13,3,"['a', 'b', 'c', 'd', 'e', 'f']",0
14,4,"['a', 'b', 'c', 'd', 'e', 'f']",0
15,5,"['a', 'b', 'c', 'd', 'e', 'f']",0
16,2,"['a', 'b', 'c', 'd', 'e', 'f']",0
17,3,"['a', 'b', 'c', 'd', 'e', 'f']",0
18,4,"['a', 'b', 'c', 'd', 'e', 'f']",0
19,5,"['a', 'b', 'c', 'd', 'e', 'f']",0
20,2,"['a', 'b', 'c', 'd', 'e', 'f']",0
21,3,"['a', 'b', 'c', 'd', 'e', 'f']",0
22,4,"['a', 'b', 'c', 'd', 'e', 'f']",0
23,5,"['a', 'b', 'c', 'd', 'e', 'f']",0
24,2,"['a', 'b', 'c', 'd', 'e', 'f']",0
25,3,"['a', 'b', 'c', 'd', 'e', 'f']",0
26,4,"['a', 'b', 'c', 'd', 'e', 'f']",0
27,5,"['a', 'b', 'c', 'd', 'e', 'f']",0
28,2,"['a', 'b', 'c', 'd', 'e', 'f']",0
29,3,"['a', 'b', 'c', 'd', 'e', 'f']",0
30,4,"['a', 'b', 'c', 'd', 'e', 'f']",0
31,5,"['a', 'b', 'c', 'd', 'e', 'f']",0
32,2,"['a', 'b', 'c', 'd', 'e', 'f']",0
33,3,"['a', 'b', 'c', 'd', 'e', 'f']",0
34,4,"['a', 'b', 'c', 'd', 'e', 'f']",0
35,5,"['a', 'b', 'c', 'd', 'e', 'f']",0
36,2,"['a', 'b', 'c', 'd', 'e', 'f']",0
37,3,"['a', 'b', 'c', 'd', 'e', 'f']",0
38,4,"['a', 'b', 'c', 'd', 'e', 'f']",0
39,5,"['a', 'b', 'c', 'd', 'e', 'f']",0
40,2,"['a', 'b', 'c', 'd', 'e', 'f']",0
41,3,"['a', 'b', 'c', 'd', 'e', 'f']",0
42,4,"['a', 'b', 'c', 'd', 'e', 'f']",0
43,5,"['a', 'b', 'c', 'd', 'e', 'f']",0
44,2,"['a', 'b', 'c', 'd', 'e', 'f']",0
45,3,"['a', 'b', 'c', 'd', 'e', 'f']",0
46,4,"['a', 'b', 'c', 'd', 'e', 'f']",0
47,5,"['a', 'b', 'c', 'd', 'e', 'f']",0
48,2,"['a', 'b', 'c', 'd', 'e', 'f']",0
49,3,"['a', 'b', 'c', 'd', 'e', 'f']",0
50,4,"['a', 'b', 'c', 'd', 'e', 'f']",0
51,5,"['a', 'b', 'c', 'd', 'e', 'f']",0
52,2,"['a', 'b', 'c', 'd', 'e', 'f']",0
53,3,"['a', 'b', 'c', 'd', 'e', 'f']",0
