Game,Max depth,Move Order,Winner
0,iterative deepening,"['a', 'b', 'c', 'd', 'e', 'f']",0
1,iterative deepening,"['a', 'b', 'c', 'd', 'e', 'f']",0
2,iterative deepening,"['a', 'b', 'c', 'd', 'e', 'f']",0
3,iterative deepening,"['a', 'b', 'c', 'd', 'e', 'f']",0
4,iterative deepening,"['a', 'b', 'c', 'd', 'e', 'f']",0
5,iterative deepening,"['a', 'b', 'c', 'd', 'e', 'f']",0
6,iterative deepening,"['a', 'b', 'c', 'd', 'e', 'f']",0
7,iterative deepening,"['a', 'b', 'c', 'd', 'e', 'f']",0
8,iterative deepening,"['a', 'b', 'c', 'd', 'e', 'f']",0
9,iterative deepening,"['a', 'b', 'c', 'd', 'e', 'f']",0
10,iterative deepening,"['a', 'b', 'c', 'd', 'e', 'f']",0
11,iterative deepening,"['a', 'b', 'c', 'd', 'e', 'f']",0
12,iterative deepening,"['a', 'b', 'c', 'd', 'e', 'f']",0
13,iterative deepening,"['a', 'b', 'c', 'd', 'e', 'f']",0
14,iterative deepening,"['a', 'b', 'c', 'd', 'e', 'f']",0
15,iterative deepening,"['a', 'b', 'c', 'd', 'e', 'f']",0
16,iterative deepening,"['a', 'b', 'c', 'd', 'e', 'f']",0
17,iterative deepening,"['a', 'b', 'c', 'd', 'e', 'f']",0
18,iterative deepening,"['a', 'b', 'c', 'd', 'e', 'f']",0
19,iterative deepening,"['a', 'b', 'c', 'd', 'e', 'f']",0
20,iterative deepening,"['a', 'b', 'c', 'd', 'e', 'f']",0
21,iterative deepening,"['a', 'b', 'c', 'd', 'e', 'f']",0
22,iterative deepening,"['a', 'b', 'c', 'd', 'e', 'f']",0
23,iterative deepening,"['a', 'b', 'c', 'd', 'e', 'f']",0
24,iterative deepening,"['a', 'b', 'c', 'd', 'e', 'f']",0
25,iterative deepening,"['a', 'b', 'c', 'd', 'e', 'f']",0
26,iterative deepening,"['a', 'b', 'c', 'd', 'e', 'f']",0
27,iterative deepening,"['a', 'b', 'c', 'd', 'e', 'f']",0
28,iterative deepening,"['a', 'b', 'c', 'd', 'e', 'f']",0
29,iterative deepening,"['a', 'b', 'c', 'd', 'e', 'f']",0
30,iterative deepening,"['a', 'b', 'c', 'd', 'e', 'f']",0
31,iterative deepening,"['a', 'b', 'c', 'd', 'e', 'f']",0
32,iterative deepening,"['a', 'b', 'c', 'd', 'e', 'f']",0
33,iterative deepening,"['a', 'b', 'c', 'd', 'e', 'f']",0
34,iterative deepening,"['a', 'b', 'c', 'd', 'e', 'f']",0
35,iterative deepening,"['a', 'b', 'c', 'd', 'e', 'f']",0
36,iterative deepening,"['a', 'b', 'c', 'd', 'e', 'f']",0
37,iterative deepening,"['a', 'b', 'c', 'd', 'e', 'f']",0
38,iterative deepening,"['a', 'b', 'c', 'd', 'e', 'f']",0
39,iterative deepening,"['a', 'b', 'c', 'd', 'e', 'f']",0
40,iterative deepening,"['a', 'b', 'c', 'd', 'e', 'f']",0
41,iterative deepening,"['a', 'b', 'c', 'd', 'e', 'f']",0
42,iterative deepening,"['a', 'b', 'c', 'd', 'e', 'f']",0
43,iterative deepening,"['a', 'b', 'c', 'd', 'e', 'f']",0
44,iterative deepening,"['a', 'b', 'c', 'd', 'e', 'f']",0
45,iterative deepening,"['a', 'b', 'c', 'd', 'e', 'f']",0
46,iterative deepening,"['a', 'b', 'c', 'd', 'e', 'f']",0
47,iterative deepening,"['a', 'b', 'c', 'd', 'e', 'f']",0
48,iterative deepening,"['a', 'b', 'c', 'd', 'e', 'f']",0
49,iterative deepening,"['a', 'b', 'c', 'd', 'e', 'f']",0
50,iterative deepening,"['a', 'b', 'c', 'd', 'e', 'f']",0
51,iterative deepening,"['a', 'b', 'c', 'd', 'e', 'f']",0
52,iterative deepening,"['a', 'b', 'c', 'd', 'e', 'f']",0
53,iterative deepening,"['a', 'b', 'c', 'd', 'e', 'f']",0
54,iterative deepening,"['a', 'b', 'c', 'd', 'e', 'f']",0
55,iterative deepening,"['a', 'b', 'c', 'd', 'e', 'f']",0
56,iterative deepening,"['a', 'b', 'c', 'd', 'e', 'f']",0
57,iterative deepening,"['a', 'b', 'c', 'd', 'e', 'f']",0
58,iterative deepening,"['a', 'b', 'c', 'd', 'e', 'f']",0
59,iterative deepening,"['a', 'b', 'c', 'd', 'e', 'f']",0
60,iterative deepening,"['a', 'b', 'c', 'd', 'e', 'f']",0
61,iterative deepening,"['a', 'b', 'c', 'd', 'e', 'f']",0
62,iterative deepening,"['a', 'b', 'c', 'd', 'e', 'f']",0
63,iterative deepening,"['a', 'b', 'c', 'd', 'e', 'f']",0
64,iterative deepening,"['a', 'b', 'c', 'd', 'e', 'f']",0
65,iterative deepening,"['a', 'b', 'c', 'd', 'e', 'f']",0
66,iterative deepening,"['a', 'b', 'c', 'd', 'e', 'f']",0
67,iterative deepening,"['a', 'b', 'c', 'd', 'e', 'f']",0
68,iterative deepening,"['a', 'b', 'c', 'd', 'e', 'f']",0
69,iterative deepening,"['a', 'b', 'c', 'd', 'e', 'f']",0
70,iterative deepening,"['a', 'b', 'c', 'd', 'e', 'f']",0
71,iterative deepening,"['a', 'b', 'c', 'd', 'e', 'f']",0
72,iterative deepening,"['a', 'b', 'c', 'd', 'e', 'f']",0
73,iterative deepening,"['a', 'b', 'c', 'd', 'e', 'f']",0
74,iterative deepening,"['a', 'b', 'c', 'd', 'e', 'f']",0
75,iterative deepening,"['a', 'b', 'c', 'd', 'e', 'f']",0
76,iterative deepening,"['a', 'b', 'c', 'd', 'e', 'f']",0
77,iterative deepening,"['a', 'b', 'c', 'd', 'e', 'f']",0
78,iterative deepening,"['a', 'b', 'c', 'd', 'e', 'f']",0
79,iterative deepening,"['a', 'b', 'c', 'd', 'e', 'f']",0
80,iterative deepening,"['a', 'b', 'c', 'd', 'e', 'f']",0
81,iterative deepening,"['a', 'b', 'c', 'd', 'e', 'f']",0
82,iterative deepening,"['a', 'b', 'c', 'd', 'e', 'f']",0
83,iterative deepening,"['a', 'b', 'c', 'd', 'e', 'f']",0
84,iterative deepening,"['a', 'b', 'c', 'd', 'e', 'f']",0
85,iterative deepening,"['a', 'b', 'c', 'd', 'e', 'f']",0
86,iterative deepening,"['a', 'b', 'c', 'd', 'e', 'f']",0
87,iterative deepening,"['a', 'b', 'c', 'd', 'e', 'f']",0
88,iterative deepening,"['a', 'b', 'c', 'd', 'e', 'f']",0
89,iterative deepening,"['a', 'b', 'c', 'd', 'e', 'f']",0
90,iterative deepening,"['a', 'b', 'c', 'd', 'e', 'f']",0
91,iterative deepening,"['a', 'b', 'c', 'd', 'e', 'f']",0
92,iterative deepening,"['a', 'b', 'c', 'd', 'e', 'f']",0
93,iterative deepening,"['a', 'b', 'c', 'd', 'e', 'f']",0
94,iterative deepening,"['a', 'b', 'c', 'd', 'e', 'f']",0
95,iterative deepening,"['a', 'b', 'c', 'd', 'e', 'f']",0
96,iterative deepening,"['a', 'b', 'c', 'd', 'e', 'f']",0
97,iterative deepening,"['a', 'b', 'c', 'd', 'e', 'f']",0
98,iterative deepening,"['a', 'b', 'c', 'd', 'e', 'f']",0
99,iterative deepening,"['a', 'b', 'c', 'd', 'e', 'f']",0
Games won,by player 0,with heuristic1: ,100
Games won,by player 1,with heuristic4: ,0
