Game,Max depth,Move Order,Winner
0,2,"['d', 'e', 'b', 'f', 'c', 'a']",1
1,3,"['d', 'e', 'b', 'c', 'a', 'f']",0
2,4,"['d', 'e', 'b', 'c', 'a', 'f']",0
3,5,"['e', 'f', 'a', 'c', 'd', 'b']",0
4,2,"['a', 'f', 'b', 'd', 'c', 'e']",0
5,3,"['d', 'c', 'e', 'f', 'b', 'a']",0
6,4,"['c', 'f', 'e', 'a', 'b', 'd']",0
7,5,"['f', 'e', 'a', 'd', 'b', 'c']",0
8,2,"['a', 'c', 'b', 'f', 'e', 'd']",0
9,3,"['d', 'a', 'b', 'e', 'c', 'f']",0
10,4,"['e', 'f', 'a', 'd', 'c', 'b']",0
11,5,"['f', 'd', 'a', 'b', 'e', 'c']",0
12,2,"['d', 'f', 'b', 'e', 'c', 'a']",0
13,3,"['c', 'b', 'f', 'd', 'e', 'a']",0
14,4,"['a', 'f', 'b', 'e', 'd', 'c']",0
15,5,"['e', 'd', 'a', 'f', 'c', 'b']",0
16,2,"['d', 'f', 'c', 'e', 'a', 'b']",0
17,3,"['a', 'f', 'e', 'd', 'c', 'b']",0
18,4,"['d', 'e', 'c', 'f', 'b', 'a']",0
19,5,"['c', 'a', 'd', 'b', 'f', 'e']",0
20,2,"['f', 'e', 'a', 'c', 'd', 'b']",0
21,3,"['d', 'e', 'b', 'c', 'f', 'a']",0
22,4,"['d', 'e', 'f', 'c', 'b', 'a']",0
23,5,"['c', 'f', 'e', 'a', 'b', 'd']",1
24,2,"['e', 'b', 'd', 'f', 'a', 'c']",1
25,3,"['b', 'f', 'e', 'd', 'c', 'a']",0
26,4,"['a', 'b', 'd', 'f', 'e', 'c']",0
27,5,"['e', 'c', 'b', 'd', 'f', 'a']",1
28,2,"['f', 'd', 'e', 'c', 'b', 'a']",0
29,3,"['c', 'f', 'e', 'a', 'b', 'd']",0
30,4,"['d', 'e', 'a', 'f', 'b', 'c']",0
31,5,"['a', 'f', 'b', 'd', 'e', 'c']",0
32,2,"['f', 'd', 'e', 'c', 'b', 'a']",0
33,3,"['c', 'e', 'b', 'd', 'f', 'a']",0
34,4,"['d', 'f', 'a', 'c', 'e', 'b']",0
35,5,"['d', 'f', 'a', 'e', 'b', 'c']",0
36,2,"['f', 'c', 'e', 'a', 'd', 'b']",0
37,3,"['d', 'f', 'e', 'a', 'c', 'b']",0
38,4,"['a', 'b', 'f', 'd', 'e', 'c']",0
39,5,"['b', 'c', 'f', 'e', 'a', 'd']",0
40,2,"['b', 'f', 'e', 'd', 'c', 'a']",0
41,3,"['d', 'f', 'e', 'a', 'b', 'c']",0
42,4,"['f', 'e', 'a', 'c', 'd', 'b']",1
43,5,"['d', 'c', 'f', 'e', 'a', 'b']",0
44,2,"['c', 'd', 'a', 'e', 'b', 'f']",0
45,3,"['e', 'a', 'b', 'd', 'c', 'f']",0
46,4,"['e', 'f', 'a', 'b', 'c', 'd']",0
47,5,"['e', 'f', 'b', 'a', 'd', 'c']",0
48,2,"['e', 'c', 'd', 'a', 'b', 'f']",0
49,3,"['e', 'c', 'a', 'd', 'f', 'b']",0
50,4,"['c', 'f', 'b', 'a', 'd', 'e']",0
51,5,"['d', 'c', 'f', 'b', 'e', 'a']",0
52,2,"['a', 'e', 'b', 'd', 'f', 'c']",0
53,3,"['f', 'c', 'd', 'b', 'e', 'a']",0
54,4,"['d', 'a', 'f', 'e', 'c', 'b']",0
55,5,"['e', 'f', 'b', 'd', 'a', 'c']",0
56,2,"['c', 'b', 'd', 'e', 'f', 'a']",1
57,3,"['c', 'b', 'd', 'a', 'e', 'f']",0
58,4,"['f', 'c', 'b', 'e', 'a', 'd']",0
59,5,"['f', 'c', 'a', 'd', 'e', 'b']",0
60,2,"['d', 'b', 'e', 'f', 'c', 'a']",0
61,3,"['b', 'a', 'e', 'c', 'd', 'f']",0
62,4,"['c', 'f', 'b', 'a', 'e', 'd']",0
63,5,"['b', 'e', 'a', 'd', 'f', 'c']",1
64,2,"['e', 'c', 'b', 'd', 'a', 'f']",1
65,3,"['e', 'a', 'f', 'd', 'c', 'b']",0
66,4,"['f', 'c', 'a', 'e', 'd', 'b']",0
67,5,"['e', 'b', 'c', 'a', 'd', 'f']",0
68,2,"['d', 'f', 'c', 'e', 'b', 'a']",1
69,3,"['f', 'e', 'c', 'b', 'd', 'a']",0
70,4,"['c', 'f', 'b', 'a', 'd', 'e']",0
71,5,"['f', 'd', 'c', 'e', 'a', 'b']",0
